customer_id,age,location,persona,lifecycle_stage,churn_risk_score,preferred_channel,spending_level,frequency_level,avg_monthly_visits,avg_ticket,promo_redemption_rate,join_date,recency,frequency,monetary,segment,avg_amount,std_amount,total_spent,favorite_category,avg_hour,avg_quantity,location_encoded,spending_level_encoded,frequency_level_encoded
C0001,56,downtown,sporadic,established,0.2217302789017885,sms,medium,regular,2,12.227299868828403,0.3,2025-04-07 07:53:22.384743,6.0,27.0,139.25,Lost,5.157407407407407,2.229768171103466,139.25,pastry,11.333333333333334,1.037037037037037,1,2,2
C0002,38,university,sporadic,mature,0.39381397003142443,app,low,rare,0,8.340703845572055,0.3,2024-04-19 07:53:22.384809,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,4,1,1
C0003,61,university,convenience_driven,active,0.22233504883434355,email,low,regular,16,9.239986631130485,0.5,2025-07-17 07:53:22.384847,2.0,218.0,1326.75,Champions,6.0860091743119265,3.9918262270098324,1326.75,coffee,10.729357798165138,1.1055045871559632,4,1,2
C0004,25,airport,price_sensitive,active,0.10164997582783161,app,low,regular,5,5.399016533479062,0.9,2025-08-05 07:53:22.384883,4.0,74.0,378.5,Regular,5.114864864864865,3.1082604231628768,378.5,pastry,9.81081081081081,1.0810810810810811,0,1,2
C0005,27,university,loyal_regular,mature,0.2733207739503824,app,high,rare,0,25.170784332632994,0.8,2024-11-28 07:53:22.384915,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,4,3,1
C0006,58,downtown,quality_focused,established,0.09566282637998906,email,low,regular,11,10.63386291417709,0.7,2025-03-31 07:53:22.384948,2.0,183.0,1099.0,Champions,6.005464480874317,4.315506499706168,1099.0,coffee,9.94535519125683,1.1420765027322404,1,1,2
C0007,58,tech_park,loyal_regular,mature,0.193623716485961,sms,medium,rare,1,15.85297914889198,0.8,2024-03-22 07:53:22.384980,12.0,7.0,36.25,Lost,5.178571428571429,3.050663471943049,36.25,coffee,9.0,1.0,3,2,1
C0008,18,downtown,sporadic,mature,0.2443557163270887,app,low,rare,0,8.830265895704372,0.3,2025-01-12 07:53:22.385011,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1,1,1
C0009,40,suburb,sporadic,mature,0.3339174619958269,email,low,frequent,3,6.866039791481465,0.3,2023-09-08 07:53:22.385044,26.0,41.0,203.75,Lost,4.969512195121951,3.14950150914356,203.75,coffee,9.634146341463415,1.048780487804878,2,1,3
C0010,28,downtown,quality_focused,mature,0.1479661713935417,email,medium,frequent,19,21.042989210310264,0.7,2024-07-18 07:53:22.385075,1.0,289.0,1587.75,Champions,5.493944636678201,3.309905641862826,1587.75,coffee,9.961937716262975,1.0865051903114187,1,2,3
C0011,26,university,convenience_driven,mature,0.4900102564722171,email,low,rare,6,9.649082359697768,0.5,2024-07-29 07:53:22.385136,1.0,115.0,656.75,Loyal,5.710869565217391,3.7500864470076567,656.75,pastry,9.956521739130435,1.0782608695652174,4,1,1
C0012,54,downtown,quality_focused,mature,0.07534967855555011,app,medium,regular,7,20.791132658292366,0.7,2024-01-19 07:53:22.385187,1.0,123.0,690.25,Loyal,5.611788617886178,3.117935170179643,690.25,pastry,9.975609756097562,1.1056910569105691,1,2,2
C0013,23,university,price_sensitive,mature,0.6522422663601021,email,medium,rare,1,9.246074041599417,0.9,2024-10-17 07:53:22.385257,1.0,11.0,62.75,New,5.704545454545454,2.176057736533494,62.75,coffee,9.363636363636363,1.0909090909090908,4,2,1
C0014,46,suburb,loyal_regular,mature,0.5371378610666746,email,low,regular,12,9.746919954946938,0.8,2024-03-14 07:53:22.385306,1.0,203.0,1135.25,Champions,5.592364532019705,3.163319056089186,1135.25,coffee,10.31527093596059,1.0935960591133005,2,1,2
C0015,18,university,sporadic,mature,0.5434537469656785,app,low,regular,2,8.788863031813307,0.3,2024-10-13 07:53:22.385352,27.0,27.0,158.0,Lost,5.851851851851852,3.2494520686476895,158.0,coffee,10.851851851851851,1.1111111111111112,4,1,2
C0016,54,downtown,loyal_regular,mature,0.21294763986586687,email,low,regular,12,6.646514856378455,0.8,2025-01-11 07:53:22.385386,1.0,182.0,939.0,Champions,5.15934065934066,3.688963022537986,939.0,coffee,9.928571428571429,1.0714285714285714,1,1,2
C0017,55,university,sporadic,mature,0.4845897602554896,app,medium,frequent,4,14.485965620472097,0.3,2025-03-07 07:53:22.385418,1.0,64.0,377.5,New,5.8984375,3.9167220740761732,377.5,coffee,10.78125,1.140625,4,2,3
C0018,25,university,sporadic,mature,0.07969772768783188,app,medium,rare,0,13.510548372420768,0.3,2024-04-24 07:53:22.385455,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,4,2,1
C0019,45,tech_park,sporadic,mature,0.2823064217080823,sms,low,regular,2,5.26182646611547,0.3,2024-03-09 07:53:22.385487,5.0,28.0,150.0,Lost,5.357142857142857,2.7152080025947365,150.0,pastry,10.928571428571429,1.1071428571428572,3,1,2
C0020,41,university,quality_focused,established,0.2747335066886147,email,medium,frequent,19,21.2272050498334,0.7,2025-04-13 07:53:22.385518,2.0,335.0,1905.0,Champions,5.686567164179104,3.80202024466398,1905.0,coffee,10.531343283582089,1.1074626865671642,4,2,3
C0021,48,airport,sporadic,mature,0.4006430877209991,app,low,rare,-1,6.374367377057974,0.3,2023-10-14 07:53:22.385553,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,1
C0022,43,tech_park,sporadic,active,0.33749105760477527,sms,high,regular,4,21.851980627406142,0.3,2025-07-02 07:53:22.385593,3.0,62.0,303.75,Regular,4.899193548387097,2.343660649627721,303.75,coffee,10.193548387096774,1.0806451612903225,3,3,2
C0023,45,suburb,convenience_driven,mature,0.04525513963278903,email,medium,regular,14,15.008242050607539,0.5,2023-09-09 07:53:22.385627,1.0,242.0,1276.25,Champions,5.273760330578512,2.759687484636556,1276.25,pastry,10.347107438016529,1.115702479338843,2,2,2
C0024,50,downtown,sporadic,mature,0.2975237199713332,app,high,regular,4,21.791825891764983,0.3,2024-08-22 07:53:22.385660,19.0,66.0,380.0,Lost,5.757575757575758,3.8465693248784136,380.0,pastry,9.909090909090908,1.1515151515151516,1,3,2
C0025,34,suburb,quality_focused,mature,0.08463456302431475,email,medium,rare,6,21.640789506870924,0.7,2024-04-20 07:53:22.385690,1.0,110.0,664.5,Loyal,6.040909090909091,4.231615291270119,664.5,coffee,10.154545454545454,1.1181818181818182,2,2,1
C0026,18,university,loyal_regular,mature,0.46847320287964433,email,medium,regular,12,13.367196263253767,0.8,2024-12-03 07:53:22.385730,2.0,170.0,1087.0,Champions,6.394117647058824,4.352764963366844,1087.0,coffee,10.635294117647058,1.1235294117647059,4,2,2
C0027,64,tech_park,price_sensitive,mature,0.31058621307454914,app,medium,regular,7,8.56121816116154,0.9,2025-01-01 07:53:22.385761,3.0,100.0,576.0,Regular,5.76,3.9714765846755617,576.0,coffee,10.22,1.13,3,2,2
C0028,36,tech_park,convenience_driven,mature,0.3361134685886052,app,medium,rare,3,16.052679704826087,0.5,2024-09-05 07:53:22.385791,2.0,39.0,226.5,New,5.8076923076923075,3.9861856596701966,226.5,pastry,10.41025641025641,1.1025641025641026,3,2,1
C0029,50,suburb,convenience_driven,mature,0.08763178723077832,email,high,regular,15,26.84621685955491,0.5,2024-06-16 07:53:22.385831,2.0,247.0,1380.5,Champions,5.589068825910931,3.2473663411725378,1380.5,coffee,9.947368421052632,1.1093117408906883,2,3,2
C0030,43,tech_park,quality_focused,mature,0.2981109409744413,email,low,frequent,22,10.871784126862314,0.7,2023-11-29 07:53:22.385870,1.0,376.0,2001.25,Champions,5.3224734042553195,2.862964710335094,2001.25,pastry,10.457446808510639,1.0930851063829787,3,1,3
